Program,Year,Week,Week Ending,Geo Level,State,State ANSI,Watershed,Commodity,Data Item,Value,Weekly.Value
SURVEY,2020,34,8/23/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",0,0
SURVEY,2020,35,8/30/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",2,2
SURVEY,2020,36,9/6/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",25,23
SURVEY,2020,37,9/13/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",26,1
SURVEY,2020,38,9/20/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",62,36
SURVEY,2020,39,9/27/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",75,13
SURVEY,2020,40,10/4/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",82,7
SURVEY,2020,41,10/11/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",87,5
SURVEY,2020,42,10/18/20,STATE,NEBRASKA,31,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PROGRESS, MEASURED IN PCT HARVESTED",96,9
SURVEY,2020,36,9/6/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",1,1
SURVEY,2020,37,9/13/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",4,3
SURVEY,2020,38,9/20/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",10,6
SURVEY,2020,39,9/27/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",14,4
SURVEY,2020,40,10/4/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",21,7
SURVEY,2020,41,10/11/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",34,13
SURVEY,2020,42,10/18/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",58,24
SURVEY,2020,43,10/25/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",76,18
SURVEY,2020,44,11/1/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",86,10
SURVEY,2020,45,11/8/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",93,7
SURVEY,2020,46,11/15/20,STATE,NEBRASKA,31,,CORN,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",96,3
SURVEY,2020,28,7/12/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",30,30
SURVEY,2020,29,7/19/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",57,27
SURVEY,2020,30,7/26/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",82,25
SURVEY,2020,31,8/2/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",92,10
SURVEY,2020,32,8/9/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",95,3
SURVEY,2020,33,8/16/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",98,3
SURVEY,2020,34,8/23/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",100,2
SURVEY,2020,35,8/30/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",100,0
SURVEY,2020,36,9/6/20,STATE,NEBRASKA,31,,OATS,"OATS - PROGRESS, MEASURED IN PCT HARVESTED",100,0
SURVEY,2020,36,9/6/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",0,0
SURVEY,2020,37,9/13/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",1,1
SURVEY,2020,38,9/20/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2,1
SURVEY,2020,39,9/27/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",7,5
SURVEY,2020,40,10/4/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",17,10
SURVEY,2020,41,10/11/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",31,14
SURVEY,2020,42,10/18/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",60,29
SURVEY,2020,43,10/25/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",82,22
SURVEY,2020,44,11/1/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",92,10
SURVEY,2020,45,11/8/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",95,3
SURVEY,2020,46,11/15/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",97,2
SURVEY,2020,47,11/22/20,STATE,NEBRASKA,31,,SORGHUM,"SORGHUM, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",100,3
SURVEY,2020,36,9/6/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",1,1
SURVEY,2020,37,9/13/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",3,2
SURVEY,2020,38,9/20/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",10,7
SURVEY,2020,39,9/27/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",29,19
SURVEY,2020,40,10/4/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",55,26
SURVEY,2020,41,10/11/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",82,27
SURVEY,2020,42,10/18/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",92,10
SURVEY,2020,43,10/25/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",97,5
SURVEY,2020,44,11/1/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",100,3
SURVEY,2020,45,11/8/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",100,0
SURVEY,2020,46,11/15/20,STATE,NEBRASKA,31,,SOYBEANS,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",100,0
SURVEY,2020,22,5/31/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",0,0
SURVEY,2020,23,6/7/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",0,0
SURVEY,2020,24,6/14/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",0,0
SURVEY,2020,25,6/21/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",0,0
SURVEY,2020,26,6/28/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",1,1
SURVEY,2020,27,7/5/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",16,15
SURVEY,2020,28,7/12/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",50,34
SURVEY,2020,29,7/19/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",79,29
SURVEY,2020,30,7/26/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",93,14
SURVEY,2020,31,8/2/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",96,3
SURVEY,2020,32,8/9/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",98,2
SURVEY,2020,33,8/16/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",100,2
SURVEY,2020,34,8/23/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",100,0
SURVEY,2020,35,8/30/20,STATE,NEBRASKA,31,,WHEAT,"WHEAT, WINTER - PROGRESS, MEASURED IN PCT HARVESTED",100,0