SpiderID,Sex,Site,TotalActivity,Peak1,Peak2,Peak3,Peak4,Peak5
Ap001,M,Campus,1333,18,13,16,18,10
Ap002,F,Campus,1342,13,13,22,6,11
Ap003,F,Campus,2809,23,10,5,13,19
Ap004,F,Campus,3809,12,13,14,13,13
Ap017,M,Campus,5377,4,8,15,15,10
Ap021,M,Campus,1833,14,15,10,19,2
Ap026,F,Campus,6763,13,15,10,14,15
Ap023,M,Campus,3108,14,17,13,13,13
Ap024,M,Campus,11515,14,19,11,14,14
Ap029,F,Campus,3327,11,11,16,17,18
Ap005,F,Forest,5052,16,15,14,8,13
Ap009,M,Forest,3764,13,21,16,14,18
Ap006,F,Forest,1571,23,0,14,22,13
Ap011,M,Forest,3714,10,23,13,12,12
Ap007,F,Forest,1897,6,10,18,12,13
Ap012,F,Forest,780,13,13,9,13,17
Ap046,M,Forest,2386,14,15,14,5,15
Ap013,F,Forest,1655,20,18,16,1,17
Ap047,M,Forest,3447,18,16,20,14,13
Ap014,F,Forest,3323,16,14,16,7,20
Ap016,F,Campus,2176,15,22,13,13,14
Ap019,M,Campus,8242,13,19,15,15,11
Ap018,F,Campus,3673,12,9,3,14,2
Ap020,M,Campus,2625,13,12,14,10,5
Ap022,F,Campus,5843,21,13,13,22,13
Ap025,M,Campus,3257,18,14,13,13,13
Ap030,F,Campus,2003,22,5,11,16,18
Ap027,M,Campus,5123,19,12,14,14,15
Ap031,F,Campus,4810,14,14,22,14,19
Ap028,M,Campus,3636,13,21,15,21,14
Ap035,M,Forest,3177,23,14,13,22,19
Ap008,F,Forest,3725,13,5,4,4,11
Ap039,M,Forest,2346,15,15,15,13,13
Ap010,F,Forest,2588,13,14,13,14,18
Ap042,M,Forest,8299,15,14,14,8,14
Ap048,M,Forest,2893,8,20,19,17,0
Ap015,F,Forest,2763,21,22,20,23,20
Ap032,M,Campus,4670,14,19,0,15,14
Ap036,F,Forest,4234,22,13,13,13,1
Ap037,M,Forest,3430,16,14,15,16,23