Site,Substrate,Mic2,Mic
1A,Artificial,1,1
1A,Artificial,2,7
1A,Plant,1,2
1A,Plant,2,8
1B,Artificial,1,3
1B,Artificial,2,9
1B,Plant,1,4
1B,Plant,2,10
1C,Artificial,1,5
1C,Artificial,2,11
1C,Plant,1,6
1C,Plant,2,12
2A,Artificial,1,2
2A,Artificial,2,8
2A,Plant,1,1
2A,Plant,2,7
2B,Artificial,1,3
2B,Artificial,2,9
2B,Plant,1,4
2B,Plant,2,10
2C,Artificial,1,6
2C,Artificial,2,12
2C,Plant,1,5
2C,Plant,2,11
3A,Artificial,1,1
3A,Artificial,2,7
3A,Plant,1,2
3A,Plant,2,8
3B,Artificial,1,3
3B,Artificial,2,9
3B,Plant,1,4
3B,Plant,2,10
3C,Artificial,1,6
3C,Artificial,2,12
3C,Plant,1,5
3C,Plant,2,11
4A,Artificial,1,1
4A,Artificial,2,7
4A,Plant,1,2
4A,Plant,2,8
4B,Artificial,1,4
4B,Artificial,2,10
4B,Plant,1,3
4B,Plant,2,9
4C,Artificial,1,5
4C,Artificial,2,11
4C,Plant,1,6
4C,Plant,2,12
5A,Artificial,1,2
5A,Artificial,2,8
5A,Plant,1,1
5A,Plant,2,7
5B,Artificial,1,3
5B,Artificial,2,9
5B,Plant,1,4
5B,Plant,2,10
5C,Artificial,1,5
5C,Artificial,2,11
5C,Plant,1,6
5C,Plant,2,12
6A,Artificial,1,2
6A,Artificial,2,8
6A,Plant,1,1
6A,Plant,2,7
6B,Artificial,1,3
6B,Artificial,2,9
6B,Plant,1,4
6B,Plant,2,10
6C,Artificial,1,5
6C,Artificial,2,11
6C,Plant,1,6
6C,Plant,2,12
7A,Artificial,1,1
7A,Artificial,2,7
7A,Plant,1,2
7A,Plant,2,8
7B,Artificial,1,4
7B,Artificial,2,10
7B,Plant,1,3
7B,Plant,2,9
7C,Artificial,1,5
7C,Artificial,2,11
7C,Plant,1,6
7C,Plant,2,12
8B,Artificial,1,7
8B,Artificial,2,8
8B,Plant,1,9
8B,Plant,2,10
8A,Artificial,1,7
8A,Artificial,2,10
8A,Plant,1,8
8A,Plant,2,9