,impervious,nearest_dist_m,traffic_impact,road_length_km,Category
1A,44.51,21.42,55.45078274,33.79813979,Urban
1B,41.30,17.33,64.08097348,41.41102077,Urban
1C,50.52,12.46,162.1616858,45.91229667,Urban
2A,44.51,22.70,386.8416817,42.05916536,Urban
2B,39.13,13.51,84.21584208,40.48926769,Urban
2C,36.72,15.15,39.02610396,38.79304881,Urban
3A,68.23,13.96,11.09739248,47.16788302,Urban
3B,38.65,31.21,23.96683692,30.17754147,Urban
3C,49.25,8.61,38.52578163,35.00523948,Urban
4A,51.10,22.57,129.2089921,31.74311096,Urban
4B,64.70,19.32,1040.835062,42.72552058,Urban
4C,43.32,10.95,92.93776171,36.24942962,Urban
5A,4.92,140.47,2.924766315,11.44253569,Rural
5B,46.58,11.12,71.68839279,35.63335812,Urban
5C,46.98,15.36,104.242249,29.89434533,Urban
6A,1.01,89.19,3.199771081,3.689857894,Rural
6B,0.17,167.48,2.294071585,3.005589326,Rural
6C,0.54,163.42,2.849712243,3.864696342,Rural
7A,0.58,161.32,0.246777959,3.544182986,Rural
7B,0.90,209.97,10.95268741,3.172158189,Rural
7C,42.73,12.01,85.68750837,32.73707551,Urban
8A,81.50,4.39,86.36612286,38.45821257,Urban
8B,42.22,16.20,144.7561017,40.13495839,Urban