NoiseVar,Data,Variable,Stat,N,Pvalue,CondR2,MargR2
Spatial,DailyAvg1,Category,-4.269,295,0.001,0.79,0.36
Spatial,DailyAvg2,PC1,5.856,295,0.001,0.81,0.51
Spatial,DailyAvg2,Substrate,-5.904,295,0.001,0.81,0.51
Spatial,DailyAvg2,PC1xSubstrate,-0.691,295,0.49,0.81,0.51
Spatial,Rural,PC1,-0.081,78,0.935,0.64,0.05
Spatial,Rural,Substrate,1.006,78,0.318,0.64,0.05
Spatial,Rural,PC1xSubstrate,1.468,78,0.146,0.64,0.05
Spatial,Urban,PC1,4.152,217,0.001,0.76,0.44
Spatial,Urban,Substrate,-3.212,217,0.002,0.76,0.44
Spatial,Urban,PC1xSubstrate,0.573,217,0.567,0.76,0.44
Temporal,DayAvg2020,Visit,7.36,268,0.061,0.75,0.39
Temporal,DayAvg2020,Category,20.49,268,0.001,0.75,0.39
Temporal,DayAvg2020,VisitxCategory,3.49,268,0.322,0.75,0.39
Temporal,DayAvg2020Rural,PerWeeklyHarvest,1.874,78,0.065,0.57,0.02