Site,Visit,Date
1A,1,8/3/20
1A,2,8/31/20
1A,3,9/22/20
1A,4,10/12/20
1B,1,8/3/20
1B,2,8/31/20
1B,3,9/22/20
1B,4,10/12/20
1C,1,8/3/20
1C,2,8/31/20
1C,3,9/22/20
1C,4,10/12/20
2A,2,9/1/20
2A,3,9/24/20
2A,4,10/13/20
2B,2,9/1/20
2B,3,9/24/20
2B,4,10/13/20
2C,2,9/1/20
2C,3,9/24/20
2C,4,10/13/20
3A,1,8/13/20
3A,2,9/3/20
3A,3,9/28/20
3A,4,10/14/20
3B,1,8/13/20
3B,2,9/3/20
3B,3,9/28/20
3B,4,10/14/20
3C,1,8/13/20
3C,2,9/3/20
3C,3,9/28/20
3C,4,10/14/20
4A,1,8/17/20
4A,2,9/14/20
4A,3,9/30/20
4A,4,10/16/20
4B,1,8/17/20
4B,2,9/14/20
4B,3,9/30/20
4B,4,10/16/20
4C,1,8/17/20
4C,2,9/14/20
4C,3,9/30/20
4C,4,10/16/20
5A,1,8/18/20
5A,2,9/15/20
5A,3,10/1/20
5A,4,10/19/20
5B,1,8/18/20
5B,2,9/15/20
5B,3,10/1/20
5B,4,10/19/20
5C,1,8/18/20
5C,2,9/15/20
5C,3,10/1/20
5C,4,10/19/20
6A,1,8/19/20
6A,2,9/18/20
6A,3,10/6/20
6A,4,10/20/20
6B,1,8/19/20
6B,2,9/18/20
6B,3,10/6/20
6B,4,10/20/20
6C,1,8/19/20
6C,2,9/18/20
6C,3,10/6/20
6C,4,10/20/20
7A,1,8/20/20
7A,2,9/21/20
7A,3,10/8/20
7A,4,10/23/20
7B,1,8/20/20
7B,2,9/21/20
7B,3,10/8/20
7B,4,10/23/20
7C,1,8/20/20
7C,2,9/21/20
7C,3,10/8/20
7C,4,10/23/20
8B,1,8/16/22
8B,2,8/17/22
8B,3,8/18/22
8B,4,8/19/22
8A,1,8/10/22
8A,2,8/11/22
8A,3,8/12/22